firstname,lastname,years,birthday,team,skills,manager,email
Babita,Hieronymus,41,1959-04-17,HR,"react,java,java",FALSE,Babita.Hieronymus@mailmail.com
Heddie,Kauppi,7,2016-05-08,developer,"ts,js,python",TRUE,Heddie.Kauppi@mailmail.com
Philis,Hachmin,46,1978-02-26,HR,"javascript,typescript,js",TRUE,Philis.Hachmin@mailmail.com
Perry,Schalles,30,1991-01-17,developer,"ts,java",FALSE,Perry.Schalles@mailmail.com
Dari,Wareing,52,1995-12-06,Recruitment,"typescript,py,js",TRUE,Dari.Wareing@mailmail.com
Kerrin,Mich,84,1972-07-19,Recruitment,"javascript,react,ts",TRUE,Kerrin.Mich@mailmail.com
Darci,Sprage,25,1956-09-07,Recruitment,"js,python,ts",FALSE,Darci.Sprage@mailmail.com
Lesly,Wareing,17,1959-01-13,Developers,"typescript,py,react",FALSE,Lesly.Wareing@mailmail.com
Kirbee,Waite,37,1994-05-06,Recruitment,js,FALSE,Kirbee.Waite@mailmail.com
Dulce,Orlene,54,1976-08-08,Developers,"python,javascript,ts",TRUE,Dulce.Orlene@mailmail.com
Eugine,Cleavland,78,2011-09-06,developer,python,FALSE,Eugine.Cleavland@mailmail.com
Mariann,Amasa,59,2021-06-14,HR,,FALSE,Mariann.Amasa@mailmail.com
Letizia,Raffo,22,1961-04-22,worker,"react,ts,js",TRUE,Letizia.Raffo@mailmail.com
Jany,Hessler,53,1950-09-27,HR,"javascript,python",FALSE,Jany.Hessler@mailmail.com
Cam,Chick,79,2025-09-21,Developers,"react,js,typescript",FALSE,Cam.Chick@mailmail.com
Myriam,Gower,74,1953-06-18,Recruitment,,FALSE,Myriam.Gower@mailmail.com
Vivia,Ax,72,1950-10-15,developer,"react,react,typescript",TRUE,Vivia.Ax@mailmail.com
Kellen,Azeria,90,2013-12-24,worker,js,TRUE,Kellen.Azeria@mailmail.com
Ninnetta,Standing,85,1956-02-09,worker,"python,react",TRUE,Ninnetta.Standing@mailmail.com
Aili,Tannie,8,2013-04-11,Developers,"python,python",FALSE,Aili.Tannie@mailmail.com
Felice,Gerge,69,1962-01-14,HR,"py,javascript,react",TRUE,Felice.Gerge@mailmail.com
Daune,Pozzy,81,1984-08-27,HR,typescript,TRUE,Daune.Pozzy@mailmail.com
Jerry,Dulciana,97,1991-07-28,worker,typescript,FALSE,Jerry.Dulciana@mailmail.com
Ebonee,Leary,7,2021-09-20,Recruitment,"python,react",TRUE,Ebonee.Leary@mailmail.com
Margette,Fabiola,68,2018-10-11,HR,react,TRUE,Margette.Fabiola@mailmail.com
Nonnah,Irmine,41,2023-11-12,worker,"javascript,js,py",TRUE,Nonnah.Irmine@mailmail.com
Brooks,Secrest,14,2010-09-25,developer,"react,javascript",TRUE,Brooks.Secrest@mailmail.com
Kate,Flyn,42,1999-06-24,worker,"react,ts",TRUE,Kate.Flyn@mailmail.com
Lindie,Sasnett,49,1952-07-07,Developers,"js,react",FALSE,Lindie.Sasnett@mailmail.com
Katharina,Vary,50,1979-04-21,developer,"typescript,typescript,react",TRUE,Katharina.Vary@mailmail.com
Almeta,Means,63,1959-01-10,worker,"java,react",FALSE,Almeta.Means@mailmail.com
Vita,Mehalek,89,1946-04-24,worker,"java,ts,py",FALSE,Vita.Mehalek@mailmail.com
Carol-Jean,Cadmar,69,1946-07-26,Developers,python,TRUE,Carol-Jean.Cadmar@mailmail.com
Sheelagh,Annice,35,1975-07-11,Recruitment,"python,py,javascript",FALSE,Sheelagh.Annice@mailmail.com
Elka,Leonard,26,1974-03-26,HR,"typescript,typescript,javascript",FALSE,Elka.Leonard@mailmail.com
Leanna,Colbert,30,2022-11-19,worker,react,FALSE,Leanna.Colbert@mailmail.com
Elvira,Joeann,70,1941-01-09,HR,"javascript,java",FALSE,Elvira.Joeann@mailmail.com
Lynea,Merna,91,1982-02-18,HR,py,FALSE,Lynea.Merna@mailmail.com
Maud,Niles,95,2015-07-11,HR,python,TRUE,Maud.Niles@mailmail.com
Belinda,Kannry,40,1973-02-14,worker,ts,FALSE,Belinda.Kannry@mailmail.com
Nikki,Dowski,4,1999-05-14,HR,"python,java,py",FALSE,Nikki.Dowski@mailmail.com
Cam,Neva,68,2017-07-21,developer,"javascript,typescript,javascript",FALSE,Cam.Neva@mailmail.com
Asia,Janene,66,1959-12-24,worker,"javascript,javascript,react",TRUE,Asia.Janene@mailmail.com
Nollie,Saint,88,1959-08-03,developer,"js,javascript",FALSE,Nollie.Saint@mailmail.com
Raina,Sherrie,51,1997-03-05,Developers,"py,typescript",TRUE,Raina.Sherrie@mailmail.com
Wanda,Ardeha,32,1957-06-14,Recruitment,"py,js",FALSE,Wanda.Ardeha@mailmail.com
Rhoda,Leler,60,2004-11-27,developer,javascript,FALSE,Rhoda.Leler@mailmail.com
Myriam,Yuille,1,1997-01-26,Developers,"java,py",FALSE,Myriam.Yuille@mailmail.com
Netty,Dichy,97,1953-01-01,HR,javascript,FALSE,Netty.Dichy@mailmail.com
Maurene,Libna,88,1949-04-03,Developers,"javascript,ts",TRUE,Maurene.Libna@mailmail.com
Molli,Nance,57,1991-12-02,worker,py,FALSE,Molli.Nance@mailmail.com
Fina,Liebermann,5,1990-03-02,HR,ts,FALSE,Fina.Liebermann@mailmail.com
Jorry,Fennessy,68,2011-08-04,HR,python,TRUE,Jorry.Fennessy@mailmail.com
Tatiania,August,91,1973-07-22,developer,"java,js",FALSE,Tatiania.August@mailmail.com
Winifred,Earlie,26,1945-03-15,HR,"ts,ts",TRUE,Winifred.Earlie@mailmail.com
Joleen,Phyllis,1,1986-04-25,HR,"js,ts",TRUE,Joleen.Phyllis@mailmail.com
Kate,Corabella,91,2018-07-18,Recruitment,typescript,FALSE,Kate.Corabella@mailmail.com
Nicoli,Trey,10,1986-02-11,developer,ts,TRUE,Nicoli.Trey@mailmail.com
Felice,Chrystel,58,2021-12-20,worker,js,FALSE,Felice.Chrystel@mailmail.com
Pamella,Sallyann,71,1996-09-29,Recruitment,"react,python",TRUE,Pamella.Sallyann@mailmail.com
Oralee,Rossner,49,2006-11-14,developer,"typescript,react,python",FALSE,Oralee.Rossner@mailmail.com
Aryn,Kiyoshi,8,1990-07-22,worker,"py,javascript",FALSE,Aryn.Kiyoshi@mailmail.com
Glynnis,Maisey,55,1985-05-18,worker,"react,react",TRUE,Glynnis.Maisey@mailmail.com
Wynne,Candy,76,2015-06-22,HR,"ts,ts",TRUE,Wynne.Candy@mailmail.com
Livvyy,Georgy,60,2011-04-01,worker,"ts,js",FALSE,Livvyy.Georgy@mailmail.com
Kylynn,Voletta,32,2009-05-03,HR,"typescript,python",TRUE,Kylynn.Voletta@mailmail.com
Rosabelle,Forrer,24,2004-07-12,Recruitment,py,TRUE,Rosabelle.Forrer@mailmail.com
Christal,Jacinda,74,1963-12-03,worker,"py,py,java",TRUE,Christal.Jacinda@mailmail.com
Kelly,Tamsky,54,2025-09-28,developer,"typescript,react",TRUE,Kelly.Tamsky@mailmail.com
Eugine,Sherrie,35,1966-09-02,Recruitment,"react,java",TRUE,Eugine.Sherrie@mailmail.com
Alia,Milde,66,1942-08-16,HR,react,TRUE,Alia.Milde@mailmail.com
Ariela,Anselmi,40,1965-10-27,developer,"py,py",FALSE,Ariela.Anselmi@mailmail.com
Daphne,Sadowski,81,2017-08-21,HR,"python,javascript,py",FALSE,Daphne.Sadowski@mailmail.com
Lisette,Fennessy,99,1943-05-17,HR,typescript,TRUE,Lisette.Fennessy@mailmail.com
Kary,Jammal,29,1961-10-05,worker,"py,typescript,js",TRUE,Kary.Jammal@mailmail.com
Claudina,Hull,84,1976-01-22,Developers,"py,typescript,js",FALSE,Claudina.Hull@mailmail.com
Lesly,Meter,55,2008-06-10,worker,"javascript,react",FALSE,Lesly.Meter@mailmail.com
Anthia,Brieta,63,1979-09-07,Developers,ts,TRUE,Anthia.Brieta@mailmail.com
Florie,Alfons,31,2024-09-09,worker,"py,react",TRUE,Florie.Alfons@mailmail.com
Brietta,Sheedy,57,2004-08-10,worker,ts,FALSE,Brietta.Sheedy@mailmail.com
Agathe,Mitzi,59,1997-07-02,developer,"typescript,typescript",FALSE,Agathe.Mitzi@mailmail.com
Modestia,Nicoline,35,1940-10-28,HR,ts,TRUE,Modestia.Nicoline@mailmail.com
Betta,Halla,61,1951-09-13,HR,js,FALSE,Betta.Halla@mailmail.com
Helena,Gower,25,1983-02-17,Developers,"typescript,ts,javascript",FALSE,Helena.Gower@mailmail.com
Nicoli,Charity,70,2005-07-08,HR,"typescript,python,ts",FALSE,Nicoli.Charity@mailmail.com
Cherilyn,Sundin,15,1999-12-31,Recruitment,typescript,TRUE,Cherilyn.Sundin@mailmail.com
Elie,Tound,70,1982-08-05,Developers,"ts,react",FALSE,Elie.Tound@mailmail.com
Harrietta,Loleta,87,1989-09-04,HR,ts,TRUE,Harrietta.Loleta@mailmail.com
Queenie,Toor,75,1992-08-26,HR,"js,js,ts",TRUE,Queenie.Toor@mailmail.com
Raina,Katrine,8,2002-03-06,worker,"javascript,java,js",TRUE,Raina.Katrine@mailmail.com
Sadie,Goddard,23,1942-05-07,Developers,ts,FALSE,Sadie.Goddard@mailmail.com
Chrystel,Kaete,61,2021-10-17,Developers,"ts,typescript",FALSE,Chrystel.Kaete@mailmail.com
Kassey,Montgomery,44,1942-10-17,HR,"ts,py",FALSE,Kassey.Montgomery@mailmail.com
Kenna,Roxanna,99,2012-12-19,worker,"ts,js,react",FALSE,Kenna.Roxanna@mailmail.com
Albertina,Dominy,5,1952-03-23,developer,py,FALSE,Albertina.Dominy@mailmail.com
Kamilah,Brotherson,15,1982-01-03,developer,react,TRUE,Kamilah.Brotherson@mailmail.com
Brietta,Kunin,17,1977-02-26,Recruitment,"java,ts",FALSE,Brietta.Kunin@mailmail.com
Mureil,Kauppi,71,1970-09-05,HR,"java,js,java",TRUE,Mureil.Kauppi@mailmail.com
Rebeca,Guildroy,6,2011-06-01,worker,"ts,javascript",FALSE,Rebeca.Guildroy@mailmail.com
Bernie,Marlie,3,1965-10-18,developer,"python,py,javascript",FALSE,Bernie.Marlie@mailmail.com
Letizia,Myrilla,26,1953-01-02,Recruitment,python,FALSE,Letizia.Myrilla@mailmail.com
Aaren,Calhoun,29,1974-05-19,Developers,"js,python,javascript",FALSE,Aaren.Calhoun@mailmail.com
Marita,Barbey,66,1964-11-11,Developers,"python,java,ts",FALSE,Marita.Barbey@mailmail.com
Daune,Alarise,24,2014-06-27,HR,react,TRUE,Daune.Alarise@mailmail.com
Sonni,Wooster,45,1999-07-02,HR,"js,react,ts",TRUE,Sonni.Wooster@mailmail.com
Cam,Ciapas,19,1984-03-29,developer,"js,js,javascript",TRUE,Cam.Ciapas@mailmail.com
Mireielle,Lorenz,90,1990-12-29,HR,"java,python",FALSE,Mireielle.Lorenz@mailmail.com
Jacenta,Heisel,53,2006-08-01,Recruitment,"javascript,java,js",TRUE,Jacenta.Heisel@mailmail.com
Anica,Gusella,97,1942-01-02,Recruitment,"ts,javascript,ts",FALSE,Anica.Gusella@mailmail.com
Sue,Curren,39,2015-05-14,HR,"js,java",TRUE,Sue.Curren@mailmail.com
Bill,Amadas,66,1965-09-13,HR,"ts,java,react",FALSE,Bill.Amadas@mailmail.com
Gwenneth,Suk,10,1969-08-29,worker,"javascript,py",FALSE,Gwenneth.Suk@mailmail.com
Yvonne,Yoko,33,2023-02-10,HR,react,FALSE,Yvonne.Yoko@mailmail.com
Charissa,Minetta,32,1943-05-31,Developers,"javascript,py,ts",FALSE,Charissa.Minetta@mailmail.com
Fanny,Breed,47,1994-10-04,HR,"py,ts,react",FALSE,Fanny.Breed@mailmail.com
Margette,Stuart,65,2012-09-27,developer,"python,react,java",FALSE,Margette.Stuart@mailmail.com
Tiffie,Afton,17,2008-02-13,Recruitment,"react,javascript",FALSE,Tiffie.Afton@mailmail.com
Deirdre,Justinn,47,2010-01-29,developer,,FALSE,Deirdre.Justinn@mailmail.com
Tomasina,Auberbach,91,1987-04-10,Recruitment,"javascript,python",TRUE,Tomasina.Auberbach@mailmail.com
Anthia,Korey,35,1977-07-30,HR,"java,js,typescript",FALSE,Anthia.Korey@mailmail.com
Jenda,Quent,57,1992-09-29,worker,"py,ts,javascript",TRUE,Jenda.Quent@mailmail.com
Libbie,Juan,4,1975-10-10,worker,"js,react",TRUE,Libbie.Juan@mailmail.com
Anica,Vacuva,77,1969-03-19,Developers,js,FALSE,Anica.Vacuva@mailmail.com
Modestia,Faust,53,2011-09-04,Developers,"javascript,typescript,typescript",FALSE,Modestia.Faust@mailmail.com
Flo,Waite,90,1962-04-14,HR,py,TRUE,Flo.Waite@mailmail.com
Lanae,Roarke,75,1945-09-24,Developers,"ts,ts",FALSE,Lanae.Roarke@mailmail.com
Jinny,Poppy,39,1961-02-11,Recruitment,"js,js,javascript",FALSE,Jinny.Poppy@mailmail.com
Delilah,Gladstone,60,1968-06-15,HR,"ts,react,java",TRUE,Delilah.Gladstone@mailmail.com
Gabi,Sigfrid,19,2002-05-29,worker,"javascript,py,javascript",TRUE,Gabi.Sigfrid@mailmail.com
Perry,Hourigan,38,2006-09-20,developer,"typescript,js",FALSE,Perry.Hourigan@mailmail.com
Tani,Dulciana,7,1982-01-05,worker,"ts,java",FALSE,Tani.Dulciana@mailmail.com
Latisha,Brodench,8,1956-06-15,developer,"js,python,js",FALSE,Latisha.Brodench@mailmail.com
Ernesta,Susannah,87,2021-02-10,Developers,js,TRUE,Ernesta.Susannah@mailmail.com
Lesly,Fontana,30,1984-02-01,HR,"java,ts,react",FALSE,Lesly.Fontana@mailmail.com
Addia,Bollay,39,1969-03-07,HR,python,FALSE,Addia.Bollay@mailmail.com
Elise,Maples,54,2016-04-07,developer,typescript,FALSE,Elise.Maples@mailmail.com
Ursulina,Hewitt,1,2022-04-30,Developers,react,TRUE,Ursulina.Hewitt@mailmail.com
Marti,Weitman,4,1967-09-09,Recruitment,javascript,TRUE,Marti.Weitman@mailmail.com
Feliza,Darian,22,1988-06-16,HR,"js,java,python",FALSE,Feliza.Darian@mailmail.com
Helena,Norvol,94,2018-06-22,HR,"python,typescript",FALSE,Helena.Norvol@mailmail.com
Vanessa,Joachim,80,2002-09-24,developer,typescript,FALSE,Vanessa.Joachim@mailmail.com
Elise,Fosque,52,1976-01-23,worker,"js,typescript",TRUE,Elise.Fosque@mailmail.com
Rosene,Francyne,97,1997-03-12,Recruitment,"py,java",TRUE,Rosene.Francyne@mailmail.com
Gusty,Primalia,16,1968-06-26,worker,"javascript,react,react",TRUE,Gusty.Primalia@mailmail.com
Caritta,Kazimir,15,2019-04-29,developer,js,FALSE,Caritta.Kazimir@mailmail.com
Minne,Fitzsimmons,84,2010-06-16,developer,"ts,ts,java",TRUE,Minne.Fitzsimmons@mailmail.com
Nita,Zamora,78,1945-03-07,Developers,"python,javascript,typescript",TRUE,Nita.Zamora@mailmail.com
Joleen,Lynn,58,1988-08-18,HR,"typescript,javascript",TRUE,Joleen.Lynn@mailmail.com
Kylynn,Hepsibah,54,1960-11-07,Developers,"react,java,js",FALSE,Kylynn.Hepsibah@mailmail.com
Rosanne,Havens,88,1947-11-15,worker,,TRUE,Rosanne.Havens@mailmail.com
Ethel,Lilybelle,78,2010-07-15,Recruitment,javascript,FALSE,Ethel.Lilybelle@mailmail.com
Misha,Grimbly,50,1993-06-11,Recruitment,"ts,js,py",FALSE,Misha.Grimbly@mailmail.com
Gabi,Chandler,94,1940-09-11,Recruitment,"py,java",TRUE,Gabi.Chandler@mailmail.com
Carly,Whiffen,86,2013-09-01,Developers,typescript,FALSE,Carly.Whiffen@mailmail.com
Kalina,O'Neill,28,1999-06-20,Developers,"react,react",TRUE,Kalina.O'Neill@mailmail.com
Alexine,Erlandson,36,1995-10-31,worker,"java,react",TRUE,Alexine.Erlandson@mailmail.com
Netty,Huggins,70,1963-03-01,Recruitment,,FALSE,Netty.Huggins@mailmail.com
Ezmeralda,Kat,39,1978-06-16,HR,"typescript,py,react",TRUE,Ezmeralda.Kat@mailmail.com
Ira,Chaing,90,2011-04-24,Developers,py,FALSE,Ira.Chaing@mailmail.com
Kaia,Milson,23,1982-03-27,Recruitment,"react,ts,python",FALSE,Kaia.Milson@mailmail.com
Aaren,Fax,81,2011-04-24,Recruitment,"java,react,ts",FALSE,Aaren.Fax@mailmail.com
Aimil,Iaverne,65,1994-03-15,developer,"java,ts,py",FALSE,Aimil.Iaverne@mailmail.com
Kaia,Callista,100,1940-12-24,HR,"ts,js",TRUE,Kaia.Callista@mailmail.com
Gusella,Ferrell,16,1946-02-05,Developers,,TRUE,Gusella.Ferrell@mailmail.com
Cordi,Albertine,25,2024-06-11,Recruitment,"js,typescript",FALSE,Cordi.Albertine@mailmail.com
Bertine,Rad,66,1986-11-29,Developers,"typescript,js,js",TRUE,Bertine.Rad@mailmail.com
Halette,Toni,56,2002-08-03,Developers,react,TRUE,Halette.Toni@mailmail.com
Mireielle,Oriana,93,1998-01-06,developer,"python,ts",FALSE,Mireielle.Oriana@mailmail.com
Ricky,Garrison,80,1977-07-17,developer,"java,ts,ts",FALSE,Ricky.Garrison@mailmail.com
Iseabal,Romelda,54,1966-06-20,Developers,"javascript,java",FALSE,Iseabal.Romelda@mailmail.com
Vivia,Sibyls,48,1986-06-18,Developers,,FALSE,Vivia.Sibyls@mailmail.com
Dari,Malina,7,1951-02-20,worker,"js,react",TRUE,Dari.Malina@mailmail.com
Joeann,Isacco,93,2006-01-13,worker,"js,typescript",TRUE,Joeann.Isacco@mailmail.com
Mamie,Alva,98,1956-01-31,HR,"python,js,py",FALSE,Mamie.Alva@mailmail.com
Aeriela,Clywd,75,2024-02-14,Developers,,FALSE,Aeriela.Clywd@mailmail.com
Cam,Allys,95,1973-03-10,Developers,"javascript,ts,py",FALSE,Cam.Allys@mailmail.com
Sabina,An,56,1986-12-20,worker,"ts,js,javascript",TRUE,Sabina.An@mailmail.com
Hayley,Shama,50,1960-02-13,worker,ts,TRUE,Hayley.Shama@mailmail.com
Cherrita,Smitt,25,1970-05-27,worker,"java,react",FALSE,Cherrita.Smitt@mailmail.com
Jenda,Vharat,32,2016-09-21,worker,"react,react",TRUE,Jenda.Vharat@mailmail.com
Caritta,Azeria,51,2021-09-14,worker,"ts,python",FALSE,Caritta.Azeria@mailmail.com
Gabriellia,Sperling,49,2024-11-25,developer,"js,java",TRUE,Gabriellia.Sperling@mailmail.com
Marleah,Dowski,10,2000-10-27,worker,js,FALSE,Marleah.Dowski@mailmail.com
Brynna,Ramona,15,1994-11-13,Recruitment,"typescript,javascript",FALSE,Brynna.Ramona@mailmail.com
Ayn,Lacombe,44,1958-01-25,worker,ts,FALSE,Ayn.Lacombe@mailmail.com
Dione,Florina,59,2014-12-19,Developers,ts,FALSE,Dione.Florina@mailmail.com
Lindie,Aurelio,68,1981-12-13,Developers,"py,java,ts",FALSE,Lindie.Aurelio@mailmail.com
Lanna,Ajay,70,1990-06-18,developer,typescript,TRUE,Lanna.Ajay@mailmail.com
Jaclyn,Prober,86,2016-10-31,Developers,"react,react,js",FALSE,Jaclyn.Prober@mailmail.com
Starla,Marsden,2,1945-12-05,worker,"java,react",TRUE,Starla.Marsden@mailmail.com
Farrah,Wadell,27,2006-08-17,developer,"js,react",FALSE,Farrah.Wadell@mailmail.com
Tonia,Faust,75,2003-08-31,Developers,python,TRUE,Tonia.Faust@mailmail.com
Zia,Rhu,6,2001-02-17,Developers,react,TRUE,Zia.Rhu@mailmail.com
Cherrita,Tound,49,1988-10-05,HR,"react,py,python",FALSE,Cherrita.Tound@mailmail.com
Tatiania,Gualtiero,74,1965-03-17,HR,"python,java,python",TRUE,Tatiania.Gualtiero@mailmail.com
Britni,Gordon,93,1998-05-20,HR,"java,py",FALSE,Britni.Gordon@mailmail.com
Di,Gualtiero,73,1943-03-10,developer,py,TRUE,Di.Gualtiero@mailmail.com
Ursulina,Marsden,55,1961-03-05,Recruitment,py,FALSE,Ursulina.Marsden@mailmail.com
Jenda,Love,74,1987-02-04,worker,"js,javascript",FALSE,Jenda.Love@mailmail.com
Collen,Astra,36,1944-07-16,Recruitment,"js,java",FALSE,Collen.Astra@mailmail.com
Joceline,Billye,15,1976-12-11,Developers,,TRUE,Joceline.Billye@mailmail.com
Susette,Edee,32,1969-01-03,Recruitment,"java,javascript",TRUE,Susette.Edee@mailmail.com
Sam,Infield,84,2017-03-19,Developers,"python,ts,ts",TRUE,Sam.Infield@mailmail.com
Carilyn,Tengdin,55,2019-01-13,Recruitment,"react,javascript,react",TRUE,Carilyn.Tengdin@mailmail.com
Darci,Nikaniki,59,1995-07-14,Developers,"java,javascript",TRUE,Darci.Nikaniki@mailmail.com
Dennie,Florina,55,2006-11-11,HR,"java,python,python",TRUE,Dennie.Florina@mailmail.com
Etta,Celestine,26,1961-02-24,Recruitment,"javascript,javascript",TRUE,Etta.Celestine@mailmail.com
Kassey,Glenden,22,1968-10-05,developer,"js,java,py",FALSE,Kassey.Glenden@mailmail.com
Lilith,Zeeba,3,1945-07-05,Developers,"java,javascript,python",TRUE,Lilith.Zeeba@mailmail.com
Sybille,Kalinda,36,1954-12-08,Developers,typescript,TRUE,Sybille.Kalinda@mailmail.com
Elie,Markman,18,1989-09-14,Recruitment,react,TRUE,Elie.Markman@mailmail.com
Rori,Publia,90,1985-10-31,developer,typescript,TRUE,Rori.Publia@mailmail.com
Dawn,Persse,28,1983-05-04,worker,"javascript,react",FALSE,Dawn.Persse@mailmail.com
Britte,Engdahl,21,1981-11-02,Developers,"java,py",FALSE,Britte.Engdahl@mailmail.com
Adriana,Tjon,63,1995-12-06,Developers,"javascript,javascript,react",FALSE,Adriana.Tjon@mailmail.com
Sean,Norvol,68,1965-04-29,HR,react,FALSE,Sean.Norvol@mailmail.com
Gabi,Kazimir,70,1953-07-15,Developers,"python,ts,react",TRUE,Gabi.Kazimir@mailmail.com
Lacie,Khorma,63,1963-10-10,developer,py,TRUE,Lacie.Khorma@mailmail.com
Christian,Maryanne,8,1966-07-01,worker,"javascript,python,python",TRUE,Christian.Maryanne@mailmail.com
Georgetta,Beniamino,4,1956-07-22,Recruitment,react,FALSE,Georgetta.Beniamino@mailmail.com
Chloris,Devlen,49,1949-07-04,developer,typescript,FALSE,Chloris.Devlen@mailmail.com
Henriette,Brian,92,1985-09-04,Developers,js,FALSE,Henriette.Brian@mailmail.com
Justinn,Kare,17,1968-08-01,HR,js,TRUE,Justinn.Kare@mailmail.com
Cyb,Decato,84,1947-09-23,HR,ts,TRUE,Cyb.Decato@mailmail.com
Adele,Clara,30,1990-06-05,HR,"python,ts,python",FALSE,Adele.Clara@mailmail.com
Carolina,Prouty,3,1962-10-09,developer,"javascript,typescript",TRUE,Carolina.Prouty@mailmail.com
Cecile,Margarete,8,1971-02-18,Developers,"javascript,java,python",TRUE,Cecile.Margarete@mailmail.com
Korrie,Kannry,11,1968-01-24,worker,"py,py",TRUE,Korrie.Kannry@mailmail.com
Vere,Iaverne,68,1996-07-02,worker,"react,react",TRUE,Vere.Iaverne@mailmail.com
Roslyn,Drus,8,2007-08-12,worker,javascript,FALSE,Roslyn.Drus@mailmail.com
Gale,Devlen,35,1994-11-18,Recruitment,typescript,FALSE,Gale.Devlen@mailmail.com
Joeann,Kendrick,34,1988-07-23,Developers,ts,TRUE,Joeann.Kendrick@mailmail.com
Nananne,Wooster,48,1960-03-17,worker,"python,javascript",TRUE,Nananne.Wooster@mailmail.com
Nariko,Dorcy,54,1981-05-03,developer,py,FALSE,Nariko.Dorcy@mailmail.com
Leeanne,Tice,67,2023-04-24,Developers,"java,javascript",TRUE,Leeanne.Tice@mailmail.com
Moyna,Adrienne,88,1973-01-13,HR,javascript,TRUE,Moyna.Adrienne@mailmail.com
Joelly,Dorcy,34,1962-06-12,Recruitment,"javascript,javascript,python",FALSE,Joelly.Dorcy@mailmail.com
Jacquetta,Ramona,4,2000-04-30,HR,"javascript,js",FALSE,Jacquetta.Ramona@mailmail.com
Caressa,Sacken,65,2018-08-22,worker,"typescript,ts,typescript",TRUE,Caressa.Sacken@mailmail.com
Shirlee,Wind,16,1957-05-17,Developers,"js,ts,react",TRUE,Shirlee.Wind@mailmail.com
Mireielle,Killigrew,61,1980-03-11,Recruitment,"py,py",TRUE,Mireielle.Killigrew@mailmail.com
Cathyleen,Stefa,7,2002-12-10,HR,react,TRUE,Cathyleen.Stefa@mailmail.com
Misha,Wyn,56,2022-10-06,developer,react,FALSE,Misha.Wyn@mailmail.com
Amelia,Redmond,54,1949-02-11,worker,"python,js",FALSE,Amelia.Redmond@mailmail.com
Joleen,Libna,56,1943-08-25,developer,,TRUE,Joleen.Libna@mailmail.com
Dari,Burkle,28,2018-07-20,HR,"java,python,java",FALSE,Dari.Burkle@mailmail.com
Carolina,Kaja,20,1948-05-17,worker,javascript,TRUE,Carolina.Kaja@mailmail.com
Fanchon,Nunci,42,1955-05-13,HR,"py,typescript",TRUE,Fanchon.Nunci@mailmail.com
Georgina,Smitt,32,2009-06-20,Recruitment,"react,py,typescript",FALSE,Georgina.Smitt@mailmail.com
Lauryn,Chaing,89,2003-11-19,worker,"typescript,javascript",FALSE,Lauryn.Chaing@mailmail.com
Stephanie,Peti,59,1986-01-18,Developers,"javascript,java",TRUE,Stephanie.Peti@mailmail.com
Orelia,Hermes,88,1972-10-30,HR,typescript,FALSE,Orelia.Hermes@mailmail.com
Damaris,Dowski,20,1958-07-24,developer,"js,ts",TRUE,Damaris.Dowski@mailmail.com
Maisey,Dunkin,96,1987-08-16,Developers,"python,js",TRUE,Maisey.Dunkin@mailmail.com
Atlanta,Craggie,49,1988-05-06,Developers,javascript,TRUE,Atlanta.Craggie@mailmail.com
Juliane,Kristi,21,1967-03-08,worker,"ts,react,ts",FALSE,Juliane.Kristi@mailmail.com
Madalyn,Bakerman,72,1983-11-10,worker,javascript,TRUE,Madalyn.Bakerman@mailmail.com
Lisette,Felizio,51,2014-10-12,Recruitment,react,TRUE,Lisette.Felizio@mailmail.com
Raf,Sandye,28,2006-03-08,Developers,"js,python",TRUE,Raf.Sandye@mailmail.com
Viviene,Lymann,34,1966-10-30,Recruitment,"python,java",TRUE,Viviene.Lymann@mailmail.com
Sonni,Nahum,66,1975-09-16,Developers,"java,javascript,py",TRUE,Sonni.Nahum@mailmail.com
Nikki,Lauraine,59,1994-05-11,Recruitment,"react,java",FALSE,Nikki.Lauraine@mailmail.com
Cyndie,Voletta,9,2005-07-23,HR,"typescript,js,js",TRUE,Cyndie.Voletta@mailmail.com
Dania,Keelia,34,1957-07-18,developer,,FALSE,Dania.Keelia@mailmail.com
Veda,Darbie,23,1998-01-24,HR,python,TRUE,Veda.Darbie@mailmail.com
Juliane,Milde,39,1976-10-20,HR,"javascript,java",TRUE,Juliane.Milde@mailmail.com
Carol-Jean,Whittaker,55,2020-09-19,Recruitment,"javascript,typescript,javascript",TRUE,Carol-Jean.Whittaker@mailmail.com
Raquela,Posner,13,1966-05-20,Developers,react,FALSE,Raquela.Posner@mailmail.com
Sharai,Argus,42,2006-04-15,worker,react,TRUE,Sharai.Argus@mailmail.com
Esmeralda,Tiffa,50,2022-05-17,worker,python,TRUE,Esmeralda.Tiffa@mailmail.com
Sandie,Dominy,80,2021-05-08,Developers,"java,javascript",FALSE,Sandie.Dominy@mailmail.com
Alex,Vastah,83,1982-01-26,developer,"java,python",TRUE,Alex.Vastah@mailmail.com
Odessa,Abbot,75,1962-10-10,HR,"py,py,java",FALSE,Odessa.Abbot@mailmail.com
Justinn,Letsou,49,1963-07-07,Developers,"typescript,react",FALSE,Justinn.Letsou@mailmail.com
Sara-Ann,Estella,93,1953-04-19,developer,"javascript,python,javascript",TRUE,Sara-Ann.Estella@mailmail.com
Kerrin,Klotz,74,1968-08-09,HR,"typescript,javascript",FALSE,Kerrin.Klotz@mailmail.com
